epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6072021722793579,0.8453943729400635,0.0005,0.6169491410255432,0.8350260853767395
1,0.6906626224517822,0.7349483370780945,0.0005,0.6429378390312195,0.7808803915977478
2,0.7100322246551514,0.6997807621955872,0.0005,0.6621468663215637,0.7605052590370178
3,0.7164209485054016,0.6883053183555603,0.0005,0.6734463572502136,0.7485721707344055
4,0.7191832065582275,0.6823791265487671,0.0005,0.6785310506820679,0.7401823997497559
5,0.7255210876464844,0.67510986328125,0.0005,0.6824858784675598,0.7337539792060852
6,0.7248432636260986,0.6717614531517029,0.0005,0.6796610355377197,0.7357305884361267
7,0.7272835373878479,0.669384777545929,0.0005,0.6920903921127319,0.7240408062934875
8,0.728961169719696,0.6656676530838013,0.0005,0.6858757138252258,0.726932168006897
9,0.7291984558105469,0.6639530658721924,0.0005,0.6977401375770569,0.7240315675735474
10,0.7307066321372986,0.6598773002624512,0.0005,0.6977401375770569,0.7182556390762329
11,0.7311133742332458,0.6590307950973511,0.0005,0.689830482006073,0.7278167009353638
12,0.7328249216079712,0.6568597555160522,0.0005,0.6920903921127319,0.7238096594810486
13,0.7341128587722778,0.6541281938552856,0.0005,0.6943503022193909,0.7177462577819824
14,0.7352651953697205,0.6524689197540283,0.0005,0.7062146663665771,0.7164666652679443
15,0.7366548180580139,0.6515443325042725,0.0005,0.693220317363739,0.7258409261703491
16,0.7351296544075012,0.6507643461227417,0.0005,0.695480227470398,0.7158772945404053
17,0.7382985949516296,0.6479519605636597,0.0005,0.701694905757904,0.715656042098999
18,0.7381629943847656,0.6486365795135498,0.0005,0.698870062828064,0.7103724479675293
19,0.738213837146759,0.6466912627220154,0.0005,0.7062146663665771,0.7078226208686829
20,0.738806962966919,0.6465867161750793,0.0005,0.701694905757904,0.7107357978820801
21,0.7394678592681885,0.6446317434310913,0.0005,0.700564980506897,0.7183074951171875
22,0.7386544942855835,0.6445441842079163,0.0005,0.701694905757904,0.7197954058647156
23,0.740976095199585,0.642021119594574,0.0005,0.698305070400238,0.7116938829421997
24,0.7397390007972717,0.6421881914138794,0.0005,0.698305070400238,0.7081085443496704
25,0.7411286234855652,0.6393329501152039,0.00025,0.7050847411155701,0.7048918008804321
26,0.7429588437080383,0.6370687484741211,0.00025,0.705649733543396,0.7051531076431274
27,0.7435688972473145,0.6373539566993713,0.00025,0.7028248310089111,0.7043166160583496
28,0.743145227432251,0.6363409757614136,0.00025,0.6994350552558899,0.7062480449676514
29,0.7428063154220581,0.6363776326179504,0.00025,0.7062146663665771,0.7028231620788574
30,0.7441281080245972,0.6353179812431335,0.00025,0.6994350552558899,0.70750892162323
31,0.7440094947814941,0.6346954107284546,0.00025,0.70225989818573,0.703536331653595
32,0.7441620230674744,0.6350924372673035,0.00025,0.700564980506897,0.7059516310691833
33,0.7454160451889038,0.6333923935890198,0.00025,0.6994350552558899,0.7026239633560181
34,0.7446703910827637,0.6337858438491821,0.00025,0.699999988079071,0.7073999643325806
35,0.7440603375434875,0.6345430612564087,0.00025,0.701694905757904,0.7030618190765381
36,0.7449923753738403,0.6334902048110962,0.00025,0.698870062828064,0.7056426405906677
37,0.7452635169029236,0.6320188045501709,0.00025,0.7011299729347229,0.7039755582809448
38,0.74543297290802,0.6333253979682922,0.00025,0.709039568901062,0.7014338970184326
39,0.7453482747077942,0.6324993968009949,0.00025,0.7062146663665771,0.6995773315429688
40,0.7459244132041931,0.6307308673858643,0.00025,0.7033898234367371,0.7029802203178406
41,0.7460260987281799,0.6317630410194397,0.00025,0.6960452198982239,0.7052513957023621
42,0.7463311553001404,0.6305239796638489,0.00025,0.7096045017242432,0.6979935765266418
43,0.746517539024353,0.6305918097496033,0.00025,0.7033898234367371,0.702477753162384
44,0.7473987340927124,0.6296372413635254,0.00025,0.705649733543396,0.7002447843551636
45,0.7453821301460266,0.6299494504928589,0.00025,0.7028248310089111,0.7002964615821838
46,0.7475512623786926,0.6295112371444702,0.00025,0.7028248310089111,0.696892499923706
47,0.7478054761886597,0.6286047697067261,0.00025,0.703954815864563,0.7017426490783691
48,0.7479749321937561,0.6290273070335388,0.00025,0.7050847411155701,0.7010836601257324
49,0.7463311553001404,0.6295177936553955,0.00025,0.698305070400238,0.705361008644104
50,0.7476360201835632,0.6286207437515259,0.00025,0.705649733543396,0.7029047012329102
51,0.7477715611457825,0.627602756023407,0.00025,0.7062146663665771,0.697749137878418
52,0.7484155297279358,0.6257421374320984,0.000125,0.7062146663665771,0.6984556317329407
53,0.7494492530822754,0.6253060698509216,0.000125,0.7033898234367371,0.7002031803131104
54,0.750347375869751,0.6239651441574097,0.000125,0.705649733543396,0.7006998658180237
55,0.748568058013916,0.6252557635307312,0.000125,0.7079095840454102,0.6991459727287292
56,0.750737190246582,0.6244907975196838,0.000125,0.7079095840454102,0.6967378854751587
57,0.7499067783355713,0.6236388683319092,0.000125,0.709039568901062,0.699640154838562
58,0.7493475675582886,0.6234380006790161,0.000125,0.7067796587944031,0.6978084444999695
59,0.7505507469177246,0.6226410865783691,0.000125,0.7067796587944031,0.6986246109008789
60,0.7489238977432251,0.6231659650802612,0.000125,0.705649733543396,0.7002115249633789
61,0.7496187090873718,0.6240938305854797,0.000125,0.7067796587944031,0.6997886896133423
62,0.7507879734039307,0.6218595504760742,6.25e-05,0.7079095840454102,0.6981616616249084
63,0.7490086555480957,0.622296929359436,6.25e-05,0.7084745764732361,0.6997187733650208
